Parameters vs. Time
Time (min.)	AlignX	AlignY	Temperature(C)	Intensity
0.168650	0.055722	0.034777	24.230083	1.763376	
0.222650	0.075810	0.071445	24.470015	1.763078	
0.276650	0.129533	0.120368	24.936522	1.763071	
0.330683	0.150902	0.176380	25.547106	1.762908	
0.384683	0.198357	0.223394	26.204191	1.762354	
0.438650	0.225291	0.253630	27.070894	1.761867	
0.492683	0.318453	0.338006	27.896122	1.761305	
0.546683	0.364739	0.382074	28.939735	1.760496	
0.600717	0.406184	0.437820	29.972517	1.760503	
0.655050	0.449340	0.512239	30.925528	1.759903	
0.709050	0.532319	0.575474	31.957907	1.759473	
0.763083	0.573416	0.663269	33.015358	1.758276	
0.817117	0.626046	0.719841	34.081764	1.757797	
0.871117	0.668198	0.770386	35.109859	1.757768	
0.925117	0.737641	0.831246	36.167328	1.756900	
0.979283	0.750785	0.865925	37.186687	1.757100	
1.033317	0.817259	0.960300	38.183765	1.755983	
1.087350	0.873921	1.013268	39.223019	1.755708	
1.141350	0.923269	1.046510	40.204250	1.754697	
1.195383	0.930421	1.173331	41.211784	1.753392	
1.249317	1.010043	1.161130	42.156914	1.753549	
1.303150	1.049896	1.172984	43.170231	1.754000	
1.356983	1.076750	1.235687	44.135120	1.752253	
1.410817	1.108963	1.362857	45.100536	1.752518	
1.464817	1.174353	1.399025	45.990314	1.751587	
1.518817	1.172244	1.457054	46.989357	1.751151	
1.572750	1.260209	1.517346	47.945610	1.749924	
1.626750	1.297863	1.540234	48.932262	1.748972	
1.680783	1.323533	1.610310	49.818436	1.749269	
1.734850	1.311539	1.655405	50.760582	1.748291	
1.788850	1.355206	1.788146	51.660793	1.748561	
1.842883	1.421521	1.855840	52.580837	1.746734	
1.896917	1.464155	1.817937	53.464302	1.747118	
1.950917	1.489309	1.946620	54.398842	1.746895	
2.004917	1.554605	2.020380	55.309566	1.743899	
2.058950	1.615990	2.010409	56.289196	1.744032	
2.112750	1.629022	2.057422	57.070560	1.743185	
2.166550	1.688742	2.070783	58.017212	1.742219	
2.220583	1.731811	2.128185	58.985138	1.743333	
2.274450	1.739938	2.185029	59.906254	1.740987	
2.328483	1.807074	2.338552	60.727100	1.739241	
2.382483	1.878909	2.391929	61.625458	1.737463	
2.436483	1.928728	2.393626	62.538570	1.737039	
2.490517	1.924738	2.497327	63.464241	1.737104	
2.544317	1.963020	2.417073	64.341339	1.737617	
2.598150	1.996309	2.621228	65.262085	1.736224	
2.651950	2.030562	2.545128	66.125374	1.734880	
2.705883	2.119324	2.658708	67.038811	1.734646	
2.759883	2.122062	2.744314	67.882477	1.732345	
2.813883	2.133400	2.811281	68.773300	1.733353	
2.867917	2.202299	2.926809	69.669220	1.732013	
2.921750	2.232889	2.937830	70.565125	1.729393	
2.975650	2.260614	3.041495	71.501328	1.730080	
3.029450	2.303578	3.113245	72.386284	1.726492	
3.083450	2.361548	3.135060	73.239403	1.726879	
3.137483	2.415659	3.302294	74.112999	1.722192	
3.191483	2.383075	3.248811	75.021248	1.724907	
3.245317	2.455749	3.288842	75.888748	1.725888	
3.299117	2.519385	3.279716	76.745644	1.724196	
3.352950	2.530213	3.335970	77.652122	1.726254	
3.406983	2.604599	3.411024	78.501015	1.720910	
3.460917	2.570421	3.472817	79.431107	1.722105	
3.514917	2.678301	3.467576	80.302872	1.721635	
3.568917	2.713327	3.646013	81.207237	1.720983	
3.622917	2.719548	3.717399	82.063057	1.718964	
3.676717	2.693338	3.725721	82.892136	1.720865	
3.730517	2.785100	3.771275	83.867874	1.716589	
3.784483	2.845131	3.847070	84.671761	1.714060	
3.838483	2.824518	3.902732	85.595604	1.711034	
3.892650	2.832524	4.048925	86.530319	1.711564	
3.946683	2.846744	3.953663	87.424606	1.715451	
4.000650	2.870649	4.038306	88.341301	1.711171	
4.054683	2.969831	4.130563	89.189613	1.709898	
4.108716	2.984632	4.290854	90.045036	1.706046	
4.162717	3.037957	4.237980	90.931007	1.706198	
4.216750	2.996313	4.300763	91.818771	1.708384	
4.270750	3.078752	4.327432	92.705864	1.707519	
4.324750	3.104873	4.376314	93.597641	1.705961	
4.378783	3.141671	4.439218	94.424721	1.704358	
4.432750	3.197668	4.558759	95.313011	1.701810	
4.486784	3.230107	4.614354	96.206322	1.699553	
4.540783	3.215700	4.706212	97.063377	1.699240	
4.594817	3.265283	4.654769	98.035027	1.697684	
4.648850	3.274137	4.790452	98.843399	1.695601	
4.702850	3.267042	4.900918	99.708374	1.701277	
4.756883	3.290687	4.907964	100.602776	1.697847	
4.810884	3.325773	4.966279	101.484734	1.698111	
4.864883	3.380474	5.022320	102.331062	1.694363	
4.918917	3.503033	5.228827	103.296661	1.683561	
4.972917	3.494221	5.329154	104.223747	1.685747	
5.026917	3.481516	5.223455	105.045486	1.689157	
5.080917	3.442616	5.365416	105.949463	1.687794	
5.135016	3.517323	5.492934	106.859337	1.682387	
5.276717	3.557216	5.589350	109.152328	1.685547	
5.330750	3.593243	5.656359	110.037560	1.677499	
5.384750	3.552094	5.738435	110.977753	1.672969	
5.438717	3.531132	5.810585	111.831009	1.679734	
5.492750	3.493809	5.988525	112.689804	1.673142	
5.546550	3.425098	5.922124	113.543694	1.680549	
5.600383	3.480362	6.159256	114.414841	1.668961	
5.654183	3.538761	6.202767	115.379860	1.671596	
5.708217	3.496508	6.289828	116.251228	1.669505	
5.762183	3.494138	6.342586	117.109062	1.670774	
5.816216	3.451366	6.410291	117.998642	1.668203	
5.870217	3.460431	6.678271	118.872459	1.656693	
5.924183	3.466489	6.517132	119.755112	1.663525	
5.978217	3.351096	6.749348	120.671120	1.660492	
6.032217	3.408132	6.794430	121.513947	1.657340	
6.086184	3.296278	6.862760	122.419785	1.660968	
6.140117	3.282573	6.944064	123.290543	1.661950	
6.194150	3.315186	7.015300	124.171341	1.657690	
6.248183	3.184585	7.108799	125.060982	1.653154	
6.302017	3.235582	7.221292	126.030792	1.646627	
6.355850	3.176039	7.521441	126.856117	1.637720	
6.409683	2.990218	7.311938	127.785400	1.656181	
6.463717	3.016400	7.527843	128.625549	1.645034	
6.517717	3.015265	7.819938	129.498383	1.633075	
6.571717	2.953166	7.694736	130.429810	1.641578	
6.625750	2.816778	7.835588	131.268845	1.639940	
6.679783	2.897280	7.933538	132.141800	1.638752	
6.733783	2.744074	8.035802	132.992554	1.636827	
6.787817	2.580392	8.133014	133.929657	1.633427	
6.841850	2.548647	8.184234	134.807037	1.635921	
6.895850	2.433834	8.433027	135.714905	1.626442	
