Dynamic Data
Time (min.)	AlignX	AlignY	Temperature(C)
0.118750	0.470717	2.899614	22.470467	
0.172783	0.527058	2.954345	22.971336	
0.226783	0.600423	3.066293	23.831022	
0.280783	0.678590	3.188483	24.933014	
0.334783	0.750218	3.312418	26.401785	
0.388817	0.846921	3.464787	28.009050	
0.442783	0.903675	3.601373	29.756084	
0.496817	0.982054	3.749264	31.601889	
0.550783	1.039500	3.894268	33.369045	
0.604783	1.112241	4.031114	35.251293	
0.658783	1.176795	4.166011	37.053040	
0.712783	1.222178	4.293606	38.910522	
0.766783	1.257003	4.455623	40.750031	
0.820783	1.307448	4.601663	42.636059	
0.874783	1.375305	4.739272	44.421989	
0.928850	1.436085	4.909493	46.227268	
0.982850	1.496866	5.038763	47.992432	
1.036850	1.520203	5.183678	49.880581	
1.090850	1.580074	5.368466	51.537563	
1.144850	1.630596	5.539510	53.372585	
1.198850	1.663688	5.711188	55.005016	
1.252817	1.740985	5.899825	56.704929	
1.306850	1.783064	6.069667	58.513805	
1.360617	1.867358	6.236061	60.172428	
1.414417	1.897502	6.432203	61.924911	
1.468250	1.967690	6.643218	63.598057	
1.522250	2.033396	6.795418	65.275749	
1.576250	2.097233	6.967864	67.019775	
1.630250	2.145195	7.162928	68.691658	
1.684250	2.206757	7.364276	70.404442	
1.738250	2.328154	7.517419	72.022263	
1.792050	2.372294	7.726545	73.711052	
1.845850	2.456152	7.930766	75.328522	
1.899817	2.579776	8.130387	76.977341	
1.953817	2.643072	8.374663	78.719101	
2.007817	2.760968	8.626327	80.311409	
2.061817	2.866270	8.841438	82.034363	
2.115717	2.959285	9.084815	83.637978	
2.169750	3.107968	9.364674	85.228378	
2.223750	3.223202	9.670655	86.940369	
2.277750	3.371895	9.957807	88.577637	
2.331750	3.579029	10.291245	90.213036	
2.385550	3.809582	10.688447	91.866264	
2.439350	4.024940	11.117666	93.492889	
2.493250	4.268152	11.496505	95.092056	
2.547250	4.500251	11.937932	96.778481	
2.601217	4.695556	12.261550	98.344551	
2.655017	4.885576	12.599478	100.030945	
2.708817	5.010026	12.899417	101.536095	
2.762783	5.184124	13.234571	103.285759	
2.816783	5.320105	13.538275	104.919868	
2.870717	5.429740	13.777110	106.541817	
2.924750	5.537860	14.010642	108.167984	
2.978750	5.586480	14.250052	109.834572	
3.032817	5.679066	14.450676	111.428207	
3.086817	5.752721	14.590486	113.061470	
3.140817	5.821975	14.789483	114.711639	
3.194783	5.846216	15.002028	116.214684	
3.248817	5.867734	15.201494	117.937813	
3.302783	5.969159	15.371228	119.571274	
3.356817	5.940634	15.583794	121.203857	
3.410783	6.029977	15.789467	122.823616	
3.464783	6.040625	15.989902	124.421097	
3.518783	6.076684	16.154814	126.044098	
3.572783	6.088677	16.356735	127.731392	
3.626783	6.139153	16.562952	129.245544	
3.680783	6.130954	16.755077	130.930054	
3.734783	6.080379	16.943396	132.567963	
3.788783	6.120844	17.151922	134.148346	
3.842850	6.090946	17.344929	135.804031	
3.896850	6.107329	17.582880	137.417526	
3.950883	6.101769	17.750002	139.073898	
4.004883	6.026731	18.001307	140.676300	
4.058883	6.058586	18.256849	142.250275	
4.112683	6.023934	18.535982	143.840057	
4.166483	6.025756	18.747551	145.572830	
4.220317	6.075424	19.043600	147.185165	
4.274317	6.116266	19.271883	148.886047	
4.328117	6.167886	19.548996	150.334549	
4.381917	6.240592	19.760126	152.018051	
4.435850	6.320433	19.969975	153.614334	
4.489817	6.388217	20.186220	155.287125	
4.543850	6.513779	20.503464	156.840973	
4.597816	6.571458	20.803886	158.464386	
4.651817	6.666347	21.055134	160.147842	
4.705817	6.825492	21.354805	161.689011	
4.759817	6.942625	21.612206	163.373978	
4.813817	7.051248	21.875374	164.962769	
4.867816	7.179773	22.160109	166.592484	
4.921783	7.325628	22.418255	168.230103	
4.975817	7.385252	22.733500	169.781799	
5.029783	7.486955	22.972879	171.452667	
5.083783	7.602373	23.228403	173.086395	
5.270717	7.855145	24.028328	178.685638	
5.324717	8.004363	24.276505	180.338272	
5.378716	8.066543	24.474628	181.896835	
5.432517	8.156087	24.691692	183.531998	
5.486317	8.227808	24.886332	185.153351	
5.540150	8.354578	25.105347	186.737350	
5.594150	8.437223	25.194300	188.388779	
5.648183	8.661011	25.326918	189.996704	
5.702283	8.838800	25.459305	191.588043	
5.756283	9.001437	25.565668	193.220505	
5.810083	9.228063	25.587561	194.846313	
5.863883	9.395555	25.663443	196.435150	
5.917783	9.638625	25.734642	198.041077	
5.941750	9.856143	25.809345	198.795029	
5.955616	9.875991	25.803736	199.254761	
5.969283	10.035060	25.920561	199.593903	
5.983083	9.966614	25.887400	200.009781	
5.996950	9.983912	25.983641	200.427261	
6.010617	9.757904	25.926270	200.869568	
6.024617	8.743598	26.004560	201.305588	
6.038550	8.709708	26.034941	201.652969	
6.052417	8.947882	26.041414	202.112152	
6.066283	8.909321	25.996080	202.530930	
6.080017	8.933873	26.109690	202.974915	
6.093683	8.083254	26.099506	203.319397	
6.107550	6.196277	26.101215	203.725128	
6.121217	6.424573	26.265717	204.201645	
6.135083	6.282066	26.205093	204.562714	
6.148950	4.126596	26.128620	204.974289	
6.162617	4.212317	26.263836	205.413681	
6.176617	4.064128	26.238539	205.817169	
6.190417	2.383114	26.326557	206.292664	
6.204283	2.484145	26.201015	206.736603	
6.217950	1.755869	26.320549	207.079697	
6.231817	0.515466	26.334793	207.464233	
6.245683	0.430266	26.258354	207.896698	
6.259550	0.632654	26.266697	208.343018	
6.273483	0.544851	26.280340	208.752502	
6.287150	0.755559	26.326298	209.140015	
6.300883	0.699862	26.412931	209.588333	
6.314883	0.868049	26.569851	210.020233	
6.328550	0.882383	26.540018	210.417984	
6.342417	0.895946	26.400446	210.830231	
6.356283	0.974778	26.437082	211.252594	
6.370017	0.865813	26.468428	211.632431	
6.383750	1.153563	26.472607	212.049423	
6.397683	1.102965	26.490480	212.481415	
6.411350	1.066813	26.497360	212.927719	
6.425083	1.138108	26.482540	213.372864	
6.438950	1.329828	26.492754	213.697556	
6.452816	1.166673	26.650377	214.106339	
6.466483	1.408319	26.621645	214.546158	
6.480217	1.432078	26.675518	214.990204	
6.494083	1.419938	26.624237	215.390579	
6.507750	1.612273	26.704193	215.804031	
6.521616	1.562483	26.641369	216.250259	
6.535550	1.720161	28.540085	216.671509	
6.549417	1.518248	28.686340	217.077881	
6.563083	1.771552	28.179237	217.396454	
6.577150	1.537411	23.304552	217.847061	
6.591750	1.592575	23.292486	218.353210	
6.605617	1.656474	22.436737	218.700241	
6.619350	1.596599	20.428108	219.101364	
6.633083	1.603114	20.339554	219.554489	
6.646950	1.608471	20.133001	220.037018	
6.660617	1.554877	14.386191	220.341553	
6.674483	1.581047	14.410106	220.804779	
6.688350	1.669892	11.505020	221.225311	
6.702217	1.684288	7.930399	221.601761	
6.715883	1.742797	7.842873	221.993210	
6.729617	1.752727	2.534454	222.397186	
6.743484	1.808102	2.543837	222.824890	
6.757150	1.887651	1.831081	223.251389	
6.770950	1.921089	0.587263	223.658508	
6.784817	1.950538	0.675993	224.088898	
6.798750	2.029113	0.688800	224.525192	
6.812417	1.982385	0.621794	224.981812	
6.826083	2.075325	0.681583	225.265060	
6.840017	2.076757	0.723935	225.774368	
6.853683	2.153539	0.722736	226.188736	
6.867483	2.192029	0.766752	226.578171	
6.881350	2.279777	0.759304	226.948257	
6.895216	2.223385	0.791894	227.406860	
6.908884	2.265486	0.820923	227.846771	
6.922550	2.325492	0.885684	228.257095	
6.936483	2.336854	0.871117	228.675934	
6.950150	2.367501	0.892770	229.097839	
6.963883	2.434377	0.908302	229.497681	
6.977750	2.466755	0.982478	229.864914	
6.991617	2.541293	0.996354	230.291031	
7.005350	2.519310	1.055118	230.652695	
7.019083	2.660681	1.101852	231.129623	
7.032950	2.666643	1.073577	231.532242	
7.046617	2.660344	1.122549	231.945053	
7.060417	2.686440	1.129459	232.348846	
7.074350	2.704149	1.169466	232.826218	
7.088217	2.712048	1.153647	233.201828	
7.101883	2.719462	1.246945	233.599854	
7.115550	2.767645	1.262839	234.010818	
7.129416	2.834724	1.243069	234.521637	
7.143150	2.919251	1.321395	234.838333	
7.156950	2.892775	1.315815	235.214188	
7.170817	2.935857	1.281503	235.652588	
7.184683	3.000472	1.378546	236.055084	
7.198350	3.007829	1.405729	236.478699	
7.212083	3.064887	1.445221	236.949265	
7.225950	3.075799	1.481272	237.346939	
7.239617	3.086762	1.497860	237.739182	
7.253350	3.083785	1.518075	238.161346	
7.267217	3.166256	1.576670	238.581070	
7.281083	3.170005	1.579199	238.961670	
7.295150	3.189764	1.582140	239.425247	
7.309017	3.241634	1.601872	239.822662	
7.322750	3.241172	1.617528	240.285309	
7.336417	3.271526	1.648095	240.642227	
7.350283	3.330166	1.670154	241.006393	
7.364217	3.298545	1.701992	241.452393	
7.377883	3.397807	1.743040	241.873535	
7.391750	3.441537	1.825808	242.287643	
7.405617	3.464146	1.819793	242.835052	
7.419550	3.462860	1.846936	243.194397	
7.433483	3.484493	1.958654	243.580841	
7.447150	3.546499	1.946528	243.946747	
7.460883	3.587926	1.945902	244.354675	
7.474750	3.625341	1.962845	244.777023	
7.488417	3.620491	2.043636	245.190994	
7.502150	3.687538	2.046116	245.609787	
7.516083	3.709583	2.101236	245.996994	
7.529950	3.739718	2.107414	246.421005	
7.543617	3.723738	2.144285	246.836807	
7.557350	3.836363	2.211057	247.312592	
7.571217	3.803440	2.234941	247.699234	
7.584950	3.886817	2.256137	248.070786	
7.598683	3.840852	2.294778	248.470001	
7.612550	3.873337	2.324005	248.941055	
7.626417	3.943891	2.331357	249.400635	
7.640083	3.943201	2.348596	249.723526	
7.653883	3.970034	2.342198	250.218994	
7.667750	3.985116	2.429331	250.616806	
7.681417	4.009923	2.418430	250.979477	
7.695283	4.051998	2.477381	251.436783	
7.709150	4.115581	2.499484	251.789749	
7.723017	4.095273	2.528793	252.228470	
7.736683	4.109655	2.588636	252.599670	
7.750350	4.127143	2.615099	253.010696	
7.764217	4.157967	2.555619	253.509888	
7.777884	4.199073	2.612145	253.850830	
7.791683	4.226398	2.691662	254.301056	
7.805550	4.232450	2.683193	254.769394	
7.819417	4.270068	2.724933	255.126968	
7.833283	4.263198	2.757235	255.539291	
7.847017	4.306576	2.759478	255.964493	
7.860683	4.368671	2.793905	256.380341	
7.874550	4.325802	2.817904	256.814026	
7.888283	4.363182	2.862953	257.203217	
7.902017	4.404984	2.838906	257.618256	
7.915884	4.427176	2.885888	258.017273	
7.929750	4.466631	2.875810	258.453644	
7.943617	4.528376	2.869878	258.817810	
7.957350	4.492569	2.962653	259.272736	
7.971017	4.521461	2.954459	259.643127	
7.984950	4.549319	2.955421	260.066040	
7.998617	4.594717	2.999370	260.513000	
8.012417	4.591265	3.010448	260.962128	
8.026283	4.645724	3.010725	261.336426	
8.040216	4.627832	2.994802	261.722137	
8.053884	4.649736	3.051872	262.115814	
8.067550	4.684796	3.079021	262.540375	
8.081417	4.674140	3.094135	262.976074	
8.095083	4.737651	3.056374	263.364990	
8.108950	4.738997	3.122511	263.862305	
8.122817	4.775198	3.082414	264.244629	
8.136683	4.788696	3.134095	264.657074	
8.150416	4.748493	3.146307	265.060455	
8.164083	4.740393	3.161827	265.502747	
8.177950	4.799703	3.219402	265.895508	
8.191883	4.815571	3.218671	266.289124	
8.205550	4.853916	3.259959	266.698822	
8.219350	4.843325	3.230238	267.134247	
8.233216	4.898825	3.259110	267.557373	
8.247084	4.879158	3.291285	267.960083	
8.260817	4.962176	3.327636	268.362061	
8.274550	4.986512	3.305115	268.772797	
8.288417	4.937249	3.316709	269.212250	
8.302083	4.915193	3.387853	269.586945	
8.315950	4.990716	3.399656	270.044373	
8.329817	5.003802	3.439955	270.445038	
8.343683	4.991912	3.439111	270.809296	
8.357550	5.040123	3.418993	271.247772	
8.371284	5.036519	3.438784	271.646606	
8.385016	5.099986	3.483574	272.061554	
8.398883	5.031832	3.469728	272.495148	
8.412617	5.067615	3.534961	272.854126	
8.426350	5.087659	3.528102	273.317749	
8.440217	5.120270	3.517655	273.685364	
8.454083	5.191238	3.532518	274.174591	
8.467950	5.167624	3.526103	274.586670	
8.481617	5.190361	3.633966	274.966705	
8.495350	5.275570	3.608225	275.353821	
8.509216	5.231490	3.632177	275.887085	
8.522883	5.264988	3.627691	276.215363	
8.536683	5.304791	3.633302	276.646667	
8.550550	5.285098	3.680204	277.070129	
8.564350	5.292364	3.668163	277.489349	
8.578217	5.300250	3.648543	277.893829	
8.591884	5.308660	3.729779	278.321716	
8.605683	5.349684	3.720028	278.724884	
8.619550	5.399117	3.784229	279.083374	
8.633284	5.382135	3.714991	279.486969	
8.647083	5.395143	3.711007	279.954742	
8.660950	5.409249	3.752212	280.360962	
8.674817	5.406297	3.769907	280.761261	
8.688483	5.488897	3.768090	281.152557	
8.702217	5.507111	3.796400	281.572266	
8.716084	5.483100	3.800320	282.026886	
8.729750	5.500546	3.836351	282.481140	
8.743484	5.523121	3.893748	282.789307	
8.757350	5.543384	3.872804	283.247284	
8.771216	5.575051	3.866015	283.646210	
8.785150	5.528481	3.910941	284.128998	
8.798817	5.571640	3.927151	284.530243	
8.812484	5.584023	3.969160	284.942871	
8.826417	5.626801	3.991059	285.377960	
8.840083	5.661332	4.039021	285.744720	
8.853884	5.651857	3.989626	286.150299	
8.867817	5.670763	4.073263	286.521667	
8.881683	5.729279	4.093835	286.966858	
8.895350	5.687614	4.057575	287.392090	
8.909083	5.726611	4.039260	287.796143	
8.922950	5.725685	4.067975	288.197662	
8.936617	5.719298	4.140880	288.662415	
8.950283	5.781003	4.105878	289.041351	
8.964216	5.806677	4.155616	289.440033	
8.978084	5.829554	4.143713	289.853638	
8.991750	5.841184	4.175460	290.319092	
9.005484	5.825643	4.246625	290.699799	
9.019417	5.873712	4.217466	291.135010	
9.033083	5.873404	4.228555	291.543457	
9.046884	5.851108	4.258476	291.941101	
9.060750	5.945383	4.276766	292.322510	
9.074683	6.011970	4.271173	292.813110	
9.088350	5.940946	4.296164	293.206604	
9.102016	5.955246	4.343455	293.590881	
9.115883	5.956192	4.340758	293.996033	
9.129617	5.964632	4.373217	294.427887	
9.143416	6.026413	4.342817	294.811371	
9.157284	6.045426	4.383852	295.219849	
9.171150	6.050639	4.366803	295.695038	
9.185083	6.123889	4.366135	296.065582	
9.198750	3.832366	4.363565	296.448273	
9.212483	3.711399	4.362716	296.884491	
9.226350	1.506499	4.331660	297.336884	
9.240084	1.259975	4.293052	297.735321	
9.253883	-0.362693	4.353027	298.204987	
9.267750	-0.392089	4.392964	298.580566	
9.281616	-0.325540	4.302434	298.922272	
9.295350	-0.387158	6.420135	299.402863	
9.309016	-0.404203	7.390493	299.836487	
9.322884	-0.366060	3.531448	300.171539	
9.336550	-0.306111	2.572047	300.614502	
9.350417	-0.240754	1.675726	300.980988	
9.364284	-0.257889	0.337392	301.432068	
9.378150	-0.309875	0.338848	301.850372	
9.391817	-0.298390	0.371389	302.269287	
9.405550	-0.308419	0.226629	302.731537	
9.419416	-0.189357	0.142814	303.053192	
9.433084	-0.233631	0.203788	303.471619	
9.446883	-0.163345	0.203084	303.920776	
9.460750	-0.110083	0.242455	304.275391	
9.474684	-0.143885	0.264349	304.779083	
9.488350	-0.104716	0.231353	305.138336	
9.502084	-0.061671	0.316338	305.563812	
9.515950	-0.086284	0.345196	305.988220	
9.529616	-0.049992	0.405165	306.419189	
9.543484	0.001216	0.371935	306.798706	
9.557350	-0.007000	0.395279	307.238190	
9.571083	-0.065003	0.428514	307.622284	
9.584817	0.002341	0.458881	308.004639	
9.598683	0.030153	0.439390	308.445343	
9.612350	-0.009142	0.439447	308.917999	
9.626217	0.027207	0.426695	309.297363	
9.640083	0.078890	0.379809	309.791351	
9.654016	0.051509	0.436985	310.182495	
9.667684	0.058765	0.483678	310.601349	
9.681350	0.061812	0.497401	310.998962	
9.695217	0.076793	0.589741	311.421875	
9.708950	0.120265	0.487747	311.763397	
9.722616	0.111855	0.577354	312.202179	
9.736484	0.216571	0.602387	312.599213	
9.750417	0.175722	0.579935	313.004974	
9.764083	0.191071	0.584791	313.424652	
9.777750	0.208604	0.625633	313.867889	
9.791683	0.203453	0.664213	314.205261	
9.805350	0.244444	0.677985	314.703430	
9.819217	0.285543	0.705357	315.085266	
9.833083	0.251908	0.734870	315.498260	
9.846950	0.288050	0.722219	315.896698	
9.860617	0.337969	0.676271	316.313477	
9.874350	0.354510	0.798169	316.713745	
9.888217	0.326157	0.858317	317.139404	
9.901883	0.412661	0.836559	317.552155	
9.915617	0.454113	0.867650	317.950592	
9.929483	0.427935	0.879624	318.345764	
9.943350	0.472549	0.896036	318.831665	
9.957283	0.512716	0.937599	319.132507	
9.970950	0.483749	0.946821	319.662354	
9.984683	0.570095	0.928554	320.050690	
9.998550	0.546253	0.986902	320.430786	
10.012217	0.529301	0.992511	320.814484	
10.025950	0.580550	0.974747	321.273712	
10.039817	0.598574	1.005231	321.708374	
10.053683	0.587061	1.011566	322.121948	
10.067350	0.551062	1.024830	322.551849	
10.081150	0.606897	1.021015	322.966492	
10.095016	0.626505	1.089646	323.323029	
10.108684	0.623580	1.117818	323.726440	
10.122483	0.665861	1.105525	324.230133	
10.136350	0.676750	1.126199	324.594452	
10.150217	0.730485	1.175142	324.998108	
10.164083	0.725612	1.172710	325.459869	
10.177750	0.751880	1.152799	325.808380	
10.191483	0.775447	1.205414	326.238556	
10.205350	0.757938	1.194331	326.619354	
10.219017	0.836150	1.194224	327.047180	
10.325617	0.851858	1.394913	330.285278	
10.339550	0.884833	1.444722	330.718567	
10.353416	0.873303	1.475452	331.140106	
10.367150	0.914494	1.478980	331.540833	
10.380816	0.937060	1.479076	331.903198	
10.394683	0.980145	1.542251	332.337952	
10.408350	1.006396	1.516699	332.722168	
10.422216	0.989608	1.613907	333.128784	
